variety,country,points
Malbec,United<br>States,94
Gewürztraminer,United<br>States,83
Cabernet Sauvignon,United<br>States,94
Pinot Noir,United<br>States,93
Sauvignon Blanc,United<br>States,83
Cabernet Sauvignon,United<br>States,94
Pinot Noir,United<br>States,94
Syrah,United<br>States,94
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,93
Zinfandel,United<br>States,83
Red Blend,United<br>States,83
Viognier,United<br>States,83
Riesling,United<br>States,84
Pinot Noir,United<br>States,93
Cabernet Sauvignon,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Riesling,United<br>States,88
White Blend,United<br>States,94
Bordeaux-style Red Blend,United<br>States,89
Chardonnay,United<br>States,93
Bordeaux-style Red Blend,United<br>States,93
Meritage,United<br>States,89
Riesling,United<br>States,89
Chardonnay,United<br>States,89
Chardonnay,United<br>States,89
Chardonnay,United<br>States,89
Riesling,United<br>States,89
Grenache,United<br>States,93
Cabernet Sauvignon,United<br>States,89
Malbec,United<br>States,93
Syrah,United<br>States,93
Zinfandel,United<br>States,89
Red Blend,United<br>States,89
Syrah,United<br>States,93
Pinot Noir,United<br>States,93
Viognier,United<br>States,89
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Zinfandel,United<br>States,93
G-S-M,United<br>States,93
Pinot Noir,United<br>States,93
Sauvignon Blanc,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Chardonnay,United<br>States,93
Pinot Noir,United<br>States,93
Sauvignon Blanc,United<br>States,93
Sangiovese,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Pinot Noir,United<br>States,92
Cabernet Franc,United<br>States,90
Syrah,United<br>States,90
Malbec,United<br>States,87
Red Blend,United<br>States,87
Cabernet Sauvignon,United<br>States,87
Cabernet Sauvignon,United<br>States,87
Merlot,United<br>States,87
Chenin Blanc,United<br>States,87
Bordeaux-style Red Blend,United<br>States,87
Chardonnay,United<br>States,90
Cabernet Sauvignon,United<br>States,87
Chenin Blanc,United<br>States,90
Chardonnay,United<br>States,90
Viognier,United<br>States,90
Rosé,United<br>States,90
Chardonnay,United<br>States,90
Viognier,United<br>States,90
Syrah,United<br>States,88
Chardonnay,United<br>States,88
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,88
Zinfandel,United<br>States,88
Pinot Blanc,United<br>States,88
Pinot Gris,United<br>States,87
Syrah,United<br>States,87
Rosé,United<br>States,87
Dolcetto,United<br>States,87
Pinot Noir,United<br>States,88
Cabernet Sauvignon,United<br>States,90
Cabernet Sauvignon,United<br>States,86
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,86
Pinot Gris,United<br>States,86
Merlot,United<br>States,86
Sangiovese,United<br>States,86
Sauvignon Blanc,United<br>States,86
Zinfandel,United<br>States,85
Cabernet Sauvignon,United<br>States,85
Zinfandel,United<br>States,91
Viognier,United<br>States,91
Pinot Gris,United<br>States,91
Pinot Noir,United<br>States,91
Pinot Noir,United<br>States,91
Petite Sirah,United<br>States,91
Sauvignon Blanc,United<br>States,87
Merlot,United<br>States,92
Cabernet Franc,United<br>States,93
Red Blend,United<br>States,80
Pinot Blanc,United<br>States,90
Pinot Noir,United<br>States,90
Zinfandel,United<br>States,80
Chardonnay,United<br>States,90
Syrah,United<br>States,80
Barbera,United<br>States,80
Syrah,United<br>States,87
Carmenère,United<br>States,87
Chardonnay,United<br>States,90
Sauvignon Blanc,United<br>States,90
Sauvignon Blanc,United<br>States,90
Pinot Noir,United<br>States,90
Cabernet Sauvignon,United<br>States,88
Pinot Noir,United<br>States,88
Grüner Veltliner,United<br>States,86
Cabernet Sauvignon,United<br>States,89
Cabernet Sauvignon,United<br>States,91
Sauvignon Blanc,United<br>States,89
Cabernet Sauvignon,United<br>States,89
Chardonnay,United<br>States,89
Pinot Noir,United<br>States,89
Merlot,United<br>States,89
Pinot Noir,United<br>States,89
Tocai Friulano,United<br>States,89
Rosé,United<br>States,86
Pinot Gris,United<br>States,86
Viognier,United<br>States,86
Gewürztraminer,United<br>States,86
Pinot Noir,United<br>States,91
Pinot Noir,United<br>States,91
Syrah,United<br>States,91
Cabernet Sauvignon,United<br>States,86
Zinfandel,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Pinot Noir,United<br>States,86
Viognier,United<br>States,86
Zinfandel,United<br>States,86
Pinot Noir,United<br>States,86
Viognier,United<br>States,88
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Merlot,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Petite Sirah,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Zinfandel,United<br>States,89
Pinot Noir,United<br>States,91
Riesling,United<br>States,86
Barbera,United<br>States,86
Riesling,United<br>States,86
Viognier,United<br>States,86
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,86
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Fumé Blanc,United<br>States,86
White Blend,United<br>States,86
Syrah,United<br>States,93
Sparkling Blend,United<br>States,91
Riesling,United<br>States,86
Sauvignon Blanc,United<br>States,93
Syrah,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Bordeaux-style Red Blend,United<br>States,93
Viognier,United<br>States,93
Albariño,United<br>States,86
Rosé,United<br>States,89
Cabernet Franc,United<br>States,89
Chardonnay,United<br>States,86
Syrah,United<br>States,89
Sparkling Blend,United<br>States,89
Pinot Noir,United<br>States,93
Merlot,United<br>States,86
Sauvignon Blanc,United<br>States,88
Syrah,United<br>States,88
Chardonnay,United<br>States,88
Riesling,United<br>States,88
Riesling,United<br>States,88
Cabernet Sauvignon,United<br>States,91
Chardonnay,United<br>States,88
Syrah,United<br>States,91
Sauvignon Blanc,United<br>States,91
Riesling,United<br>States,88
Pinot Noir,United<br>States,90
Cabernet Sauvignon,United<br>States,88
Syrah,United<br>States,90
Gamay Noir,United<br>States,90
Sauvignon Blanc,United<br>States,90
Cabernet Sauvignon-Syrah,United<br>States,91
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,90
Red Blend,United<br>States,90
Viognier,United<br>States,90
Chardonnay,United<br>States,90
Grenache,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Chardonnay,United<br>States,90
Zinfandel,United<br>States,90
Merlot,United<br>States,90
Syrah,United<br>States,90
Chardonnay,United<br>States,90
Merlot,United<br>States,90
Chardonnay,United<br>States,90
Chardonnay,United<br>States,90
Red Blend,United<br>States,90
Cabernet Sauvignon,United<br>States,91
Chardonnay,United<br>States,88
Red Blend,United<br>States,88
Red Blend,United<br>States,91
Red Blend,United<br>States,88
Bordeaux-style Red Blend,United<br>States,91
Syrah,United<br>States,88
Pinot Noir,United<br>States,91
Pinot Noir,United<br>States,88
Pinot Blanc,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Petite Sirah,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,90
White Blend,United<br>States,88
Sauvignon Blanc,United<br>States,90
Chardonnay,United<br>States,90
Cabernet Sauvignon,United<br>States,91
Cabernet Franc,United<br>States,90
Bordeaux-style Red Blend,United<br>States,90
Zinfandel,United<br>States,90
Cabernet Sauvignon,United<br>States,91
Syrah,United<br>States,91
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,90
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Sparkling Blend,United<br>States,88
Syrah,United<br>States,91
Pinot Noir,United<br>States,88
Syrah,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,87
Red Blend,United<br>States,87
Merlot,United<br>States,87
Marsanne,United<br>States,87
Cabernet Sauvignon-Merlot,United<br>States,87
Cabernet Franc,United<br>States,87
Grenache Blanc,United<br>States,87
Cabernet Sauvignon,United<br>States,87
Bordeaux-style Red Blend,United<br>States,87
Sauvignon Blanc,United<br>States,87
Bordeaux-style Red Blend,United<br>States,87
Pinot Noir,United<br>States,87
Zinfandel,United<br>States,87
Chardonnay,United<br>States,87
Rosé,United<br>States,87
Pinot Noir,United<br>States,87
Merlot,United<br>States,87
Zinfandel,United<br>States,84
Chardonnay,United<br>States,84
Pinot Noir,United<br>States,84
Chardonnay,United<br>States,84
Chardonnay,United<br>States,84
Chardonnay,United<br>States,84
Zinfandel,United<br>States,84
Cabernet Sauvignon,United<br>States,87
Red Blend,United<br>States,84
Viognier,United<br>States,84
Sauvignon Blanc,United<br>States,87
Pinot Noir,United<br>States,90
Bordeaux-style Red Blend,United<br>States,87
Syrah,United<br>States,87
Bordeaux-style Red Blend,United<br>States,93
Pinot Noir,United<br>States,89
Bordeaux-style Red Blend,United<br>States,93
Pinot Noir,United<br>States,88
Pinot Noir,United<br>States,88
Merlot,United<br>States,88
Pinot Noir,United<br>States,88
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Merlot,United<br>States,93
Pinot Noir,United<br>States,93
Red Blend,United<br>States,93
Sauvignon Blanc,United<br>States,88
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,88
Chardonnay,United<br>States,88
Pinot Noir,United<br>States,88
Bordeaux-style Red Blend,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Sparkling Blend,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,88
Syrah,United<br>States,93
Merlot,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Red Blend,United<br>States,87
Merlot,United<br>States,87
Zinfandel,United<br>States,87
Pinot Noir,United<br>States,88
Pinot Gris,United<br>States,88
Cabernet Sauvignon-Syrah,United<br>States,88
Riesling,United<br>States,89
Cabernet Sauvignon,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Bordeaux-style Red Blend,United<br>States,93
Tempranillo,United<br>States,93
Syrah,United<br>States,93
Merlot,United<br>States,88
Bordeaux-style Red Blend,United<br>States,93
Grenache Blanc,United<br>States,88
Pinot Noir,United<br>States,92
Chardonnay,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,93
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,92
White Blend,United<br>States,88
Red Blend,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Riesling,United<br>States,92
Riesling,United<br>States,88
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Syrah,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Mourvèdre,United<br>States,93
Red Blend,United<br>States,88
Cinsault,United<br>States,88
Red Blend,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Merlot,United<br>States,88
Sauvignon Blanc,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Chardonnay,United<br>States,88
Chardonnay,United<br>States,88
Cabernet Franc,United<br>States,88
Bordeaux-style Red Blend,United<br>States,88
Syrah,United<br>States,88
Red Blend,United<br>States,88
Syrah,United<br>States,92
Chardonnay,United<br>States,93
Syrah,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Red Blend,United<br>States,92
Merlot,United<br>States,92
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Sauvignon Blanc,United<br>States,92
Cabernet Sauvignon-Syrah,United<br>States,92
Cabernet Sauvignon,United<br>States,88
Red Blend,United<br>States,92
Syrah,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Chardonnay,United<br>States,92
Cabernet Sauvignon,United<br>States,88
Riesling,United<br>States,92
Zinfandel,United<br>States,89
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Cabernet Franc,United<br>States,90
Merlot,United<br>States,86
Tempranillo,United<br>States,86
Merlot,United<br>States,85
Riesling,United<br>States,85
Merlot,United<br>States,85
Pinot Noir,United<br>States,85
Chardonnay,United<br>States,85
Red Blend,United<br>States,90
Chardonnay,United<br>States,90
Merlot,United<br>States,83
Rosé,United<br>States,90
Meritage,United<br>States,82
Cabernet Sauvignon,United<br>States,90
Merlot,United<br>States,82
Cabernet Sauvignon,United<br>States,82
Red Blend,United<br>States,82
Sauvignon Blanc,United<br>States,82
Cabernet Sauvignon,United<br>States,90
Chardonnay,United<br>States,82
Red Blend,United<br>States,90
Syrah,United<br>States,82
Pinot Noir,United<br>States,91
Chardonnay,United<br>States,91
Zinfandel,United<br>States,89
Bordeaux-style Red Blend,United<br>States,89
Pinot Noir,United<br>States,89
Cabernet Franc,United<br>States,89
Riesling,United<br>States,90
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,90
Chardonnay,United<br>States,86
Bordeaux-style Red Blend,United<br>States,92
Cabernet Sauvignon,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Bordeaux-style Red Blend,United<br>States,88
Cabernet Franc,United<br>States,88
Viognier,United<br>States,88
Pinot Noir,United<br>States,88
Chardonnay,United<br>States,86
Cabernet Franc,United<br>States,86
Nebbiolo,United<br>States,86
Merlot,United<br>States,86
Zinfandel,United<br>States,86
Meritage,United<br>States,86
Chardonnay,United<br>States,90
Chardonnay,United<br>States,86
Merlot,United<br>States,87
Red Blend,United<br>States,87
Sparkling Blend,United<br>States,87
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,87
Lagrein,United<br>States,86
Riesling,United<br>States,87
Red Blend,United<br>States,86
Red Blend,United<br>States,86
Pinot Noir,United<br>States,86
Syrah,United<br>States,86
Zinfandel,United<br>States,87
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Sauvignon Blanc,United<br>States,86
Viognier,United<br>States,86
Petite Sirah,United<br>States,85
Cabernet Sauvignon,United<br>States,94
Chardonnay,United<br>States,85
Chardonnay,United<br>States,85
Chardonnay,United<br>States,85
Rhône-style Red Blend,United<br>States,94
Fumé Blanc,United<br>States,92
Grenache,United<br>States,92
Chardonnay,United<br>States,92
Chardonnay,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Malbec,United<br>States,94
Cabernet Sauvignon,United<br>States,91
Sangiovese,United<br>States,85
Chardonnay,United<br>States,91
Grenache,United<br>States,94
Pinot Noir,United<br>States,91
Viognier,United<br>States,92
Pinot Noir,United<br>States,92
Merlot,United<br>States,94
Rosé,United<br>States,92
Grenache,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,94
Pinot Noir,United<br>States,92
Rhône-style Red Blend,United<br>States,92
Pinot Noir,United<br>States,92
Chardonnay,United<br>States,91
Bordeaux-style Red Blend,United<br>States,94
Chardonnay,United<br>States,85
Red Blend,United<br>States,85
Sparkling Blend,United<br>States,86
Zinfandel,United<br>States,90
Tempranillo,United<br>States,86
Chardonnay,United<br>States,90
Cabernet Franc,United<br>States,86
Chardonnay,United<br>States,86
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,90
Chardonnay,United<br>States,90
Pinot Noir,United<br>States,90
Malbec,United<br>States,86
Red Blend,United<br>States,86
Rhône-style Red Blend,United<br>States,86
Grenache,United<br>States,85
Pinot Noir,United<br>States,90
Cabernet Sauvignon,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,90
Merlot,United<br>States,85
Pinot Noir,United<br>States,85
Chardonnay,United<br>States,90
Syrah,United<br>States,94
Merlot,United<br>States,85
Chardonnay,United<br>States,85
Pinot Noir,United<br>States,94
Chardonnay,United<br>States,85
Red Blend,United<br>States,86
Bordeaux-style Red Blend,United<br>States,93
Cabernet Sauvignon,United<br>States,94
Cabernet Sauvignon,United<br>States,95
Sangiovese,United<br>States,83
Chardonnay,United<br>States,83
Riesling,United<br>States,87
Sauvignon Blanc,United<br>States,87
Sauvignon Blanc,United<br>States,83
Merlot,United<br>States,83
Pinot Noir,United<br>States,83
Sauvignon Blanc,United<br>States,83
Cabernet Franc,United<br>States,83
Syrah,United<br>States,83
Riesling,United<br>States,87
Syrah,United<br>States,87
Merlot,United<br>States,87
Chardonnay,United<br>States,83
Zinfandel,United<br>States,87
Cabernet Franc,United<br>States,87
Carmenère,United<br>States,87
Sauvignon Blanc,United<br>States,87
Chardonnay,United<br>States,87
Syrah,United<br>States,87
Syrah,United<br>States,87
Cabernet Franc,United<br>States,87
Chardonnay,United<br>States,87
Sauvignon Blanc,United<br>States,87
Zinfandel,United<br>States,87
Gewürztraminer,United<br>States,87
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,82
Zinfandel,United<br>States,87
Pinot Noir,United<br>States,92
Zinfandel,United<br>States,83
Syrah,United<br>States,83
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,92
Red Blend,United<br>States,92
Pinot Noir,United<br>States,92
Gewürztraminer,United<br>States,92
Red Blend,United<br>States,92
Syrah,United<br>States,92
Moscato,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Red Blend,United<br>States,83
Bordeaux-style Red Blend,United<br>States,92
Cabernet Sauvignon,United<br>States,95
Zinfandel,United<br>States,92
Petite Sirah,United<br>States,91
Pinot Noir,United<br>States,95
Cabernet Sauvignon,United<br>States,95
Malbec,United<br>States,91
Tempranillo,United<br>States,91
Chardonnay,United<br>States,91
Sangiovese,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,83
Cabernet Sauvignon,United<br>States,95
Cabernet Sauvignon,United<br>States,92
Zinfandel,United<br>States,85
Cabernet Sauvignon,United<br>States,93
Chardonnay,United<br>States,86
Red Blend,United<br>States,86
Pinot Noir,United<br>States,86
Chardonnay,United<br>States,86
Chardonnay,United<br>States,87
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,86
Cabernet Franc,United<br>States,86
Zinfandel,United<br>States,86
Pinot Noir,United<br>States,86
Bordeaux-style Red Blend,United<br>States,97
Bordeaux-style Red Blend,United<br>States,95
Bordeaux-style Red Blend,United<br>States,95
Red Blend,United<br>States,95
Rhône-style Red Blend,United<br>States,86
Pinot Noir,United<br>States,95
Cabernet Sauvignon,United<br>States,95
Merlot,United<br>States,94
Syrah,United<br>States,94
Bordeaux-style Red Blend,United<br>States,94
Pinot Noir,United<br>States,94
Merlot,United<br>States,94
Chardonnay,United<br>States,85
Chardonnay,United<br>States,85
Bordeaux-style Red Blend,United<br>States,85
Merlot,United<br>States,85
Pinot Noir,United<br>States,89
Riesling,United<br>States,85
Riesling,United<br>States,85
Bordeaux-style Red Blend,United<br>States,95
Cabernet Sauvignon-Syrah,United<br>States,85
Cabernet Sauvignon,United<br>States,86
Pinot Noir,United<br>States,86
Bordeaux-style Red Blend,United<br>States,92
Sauvignon Blanc,United<br>States,90
Syrah,United<br>States,92
Sauvignon Blanc,United<br>States,90
Bordeaux-style Red Blend,United<br>States,90
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,90
Chardonnay,United<br>States,90
Pinot Noir,United<br>States,90
Rhône-style Red Blend,United<br>States,92
Sauvignon Blanc,United<br>States,92
Syrah,United<br>States,92
Pinot-Chardonnay,United<br>States,90
Rosé,United<br>States,86
Riesling,United<br>States,87
Chardonnay,United<br>States,90
Cabernet Sauvignon,United<br>States,87
Albariño,United<br>States,87
Riesling,United<br>States,89
Pinot Noir,United<br>States,89
Sauvignon Blanc,United<br>States,87
Pinot Noir,United<br>States,89
Chardonnay,United<br>States,89
Pinot Noir,United<br>States,89
Grenache,United<br>States,86
Viognier,United<br>States,87
Syrah,United<br>States,86
Pinot Noir,United<br>States,86
Sauvignon Blanc,United<br>States,87
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,89
Merlot,United<br>States,85
Pinot Noir,United<br>States,89
Pinot Noir,United<br>States,89
Sangiovese,United<br>States,89
Petite Sirah,United<br>States,90
Riesling,United<br>States,90
Bordeaux-style Red Blend,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,93
Zinfandel,United<br>States,90
Petite Sirah,United<br>States,90
Chardonnay,United<br>States,90
Pinot Noir,United<br>States,90
Chardonnay,United<br>States,93
Red Blend,United<br>States,82
Chardonnay,United<br>States,90
Bordeaux-style Red Blend,United<br>States,90
Petite Sirah,United<br>States,90
Zinfandel,United<br>States,90
Red Blend,United<br>States,90
Bordeaux-style Red Blend,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Bordeaux-style Red Blend,United<br>States,93
Sparkling Blend,United<br>States,93
Pinot Noir,United<br>States,93
Cabernet Sauvignon,United<br>States,86
Red Blend,United<br>States,93
Viognier,United<br>States,86
Sauvignon Blanc,United<br>States,86
Cabernet Sauvignon,United<br>States,90
Pinot Grigio,United<br>States,85
Merlot,United<br>States,82
Chardonnay,United<br>States,82
Merlot,United<br>States,85
Pinot Noir,United<br>States,85
Merlot,United<br>States,85
Cabernet Sauvignon,United<br>States,85
Johannisberg Riesling,United<br>States,85
Merlot,United<br>States,85
Merlot,United<br>States,85
Pinot Gris,United<br>States,85
Merlot,United<br>States,85
Sauvignon Blanc,United<br>States,83
Pinot Gris,United<br>States,83
Pinot Noir,United<br>States,83
Tannat,United<br>States,89
Moscato,United<br>States,82
Chardonnay,United<br>States,83
Pinot Noir,United<br>States,89
Zinfandel,United<br>States,89
Pinot Noir,United<br>States,83
Chardonnay,United<br>States,82
Merlot,United<br>States,82
Chardonnay,United<br>States,82
Pinot Grigio,United<br>States,82
Cabernet Sauvignon,United<br>States,82
Cabernet Sauvignon,United<br>States,89
Red Blend,United<br>States,82
Merlot,United<br>States,89
Cabernet Sauvignon,United<br>States,82
Cabernet Sauvignon,United<br>States,82
Pinot Noir,United<br>States,83
Cabernet Sauvignon,United<br>States,85
Chardonnay,United<br>States,85
Pinot Gris,United<br>States,85
Pinot Noir,United<br>States,94
Cabernet Sauvignon,United<br>States,94
Chardonnay,United<br>States,94
Sauvignon Gris,United<br>States,94
Cabernet Sauvignon,United<br>States,94
Cabernet Sauvignon,United<br>States,94
Cabernet Sauvignon,United<br>States,94
Petite Sirah,United<br>States,94
Bordeaux-style Red Blend,United<br>States,94
Bordeaux-style Red Blend,United<br>States,92
Syrah,United<br>States,92
Cabernet Sauvignon,United<br>States,93
Cabernet Sauvignon,United<br>States,85
Sparkling Blend,United<br>States,94
Pinot Noir,United<br>States,85
Sauvignon Blanc,United<br>States,85
Pinot Grigio,United<br>States,85
Merlot,United<br>States,85
Bordeaux-style Red Blend,United<br>States,85
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,85
Chardonnay,United<br>States,85
Pinot Noir,United<br>States,85
Pinot Gris,United<br>States,92
Grenache,United<br>States,85
Chardonnay,United<br>States,85
Zinfandel,United<br>States,85
Cabernet Sauvignon,United<br>States,88
Pinot Grigio,United<br>States,85
Mourvèdre,United<br>States,88
Cabernet Sauvignon,United<br>States,94
Pinot Noir,United<br>States,95
Syrah,United<br>States,89
Chardonnay,United<br>States,89
Sauvignon Blanc,United<br>States,89
Cabernet Sauvignon,United<br>States,92
Syrah,United<br>States,92
Sauvignon Blanc,United<br>States,92
Red Blend,United<br>States,94
Pinot Noir,United<br>States,94
Chardonnay,United<br>States,94
Pinot Noir,United<br>States,94
Grenache,United<br>States,94
Grenache,United<br>States,94
Pinot Noir,United<br>States,94
Red Blend,United<br>States,94
Pinot Noir,United<br>States,94
Pinot Noir,United<br>States,92
Chardonnay,United<br>States,94
Cabernet Sauvignon,United<br>States,92
Riesling,United<br>States,94
Syrah,United<br>States,94
Chardonnay,United<br>States,94
Pinot Noir,United<br>States,94
Cabernet Sauvignon,United<br>States,95
Sparkling Blend,United<br>States,95
Chardonnay,United<br>States,95
Chardonnay,United<br>States,95
Chardonnay,United<br>States,95
Cabernet Sauvignon,United<br>States,95
Riesling-Chardonnay,United<br>States,94
Cabernet Sauvignon,United<br>States,89
Syrah,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Sauvignon Blanc,United<br>States,91
Albariño,United<br>States,91
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Malbec,United<br>States,92
G-S-M,United<br>States,91
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,92
Viognier,United<br>States,91
Cabernet Sauvignon,United<br>States,85
Petit Verdot,United<br>States,86
Chardonnay,United<br>States,85
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,85
Merlot,United<br>States,85
Cabernet Sauvignon,United<br>States,86
Zinfandel,United<br>States,85
Cabernet Sauvignon,United<br>States,85
Zinfandel,United<br>States,86
Cabernet Sauvignon,United<br>States,85
Chardonnay,United<br>States,85
Pinot Noir,United<br>States,85
Sauvignon Blanc,United<br>States,85
Chardonnay,United<br>States,85
Chardonnay,United<br>States,86
